Monday,,,"Time Table, Fall-2021
",,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2021),,,,,,,,,,,,,"FAST School of Computing, NUCES, Islamabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS (CS),,,,,,,,,,,,BS Repeat Courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2020),,,,,,,,,,,,,BS DS (2021),,,,,,,,,,,,BS AI (2021),,,,,,,,,,,,BS CY (2021),,,,,,,,,,,,BS SE (2021),,,,,,,,,,,,MS (DS)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2019),,,,,,,,,,,,,BS DS (2020),,,,,,,,,,,,BS AI (2020),,,,,,,,,,,,BS CY (2020),,,,,,,,,,,,BS SE (2020),,,,,,,,,,,,MS (SE),,,,,,,,,,,,MS/ PhD Elective Courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2018),,,,,,,,,,,,,BS DS (2019),,,,,,,,,,,,BS AI (2019),,,,,,,,,,,,BS CY (2019),,,,,,,,,,,,MS (AI),,,,,,,,,,,,MS (CNS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10,15,20,25,30,35,40,45,50,55,0,5,10
,,Room,08:30-09:50,,,,,,,,,,,,,,,,,,10:00-11:20,,,,,,,,,,,,,,,,,,11:30-12:50,,,,,,,,,,,,,,,,,,01:00-02:20,,,,,,,,,,,,,,,,,,02:30-03:50,,,,,,,,,,,,,,,,,03:55-05:15,,,,,,,,,,,,,,,,,05:20-06:50 (inc. 10 min break),,,,,,,,,,,,,,,,,,,06:55-08:15,,,,,,,,,,,,,,,
Monday,,C-301,"PF (CS-21, A)",,,,,,,,,,,,,,,,,,"AP (CS-21, A) ",,,,,,,,,,,,,,,,,,"Cal (CS-21, A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Islamic Studies (CS-21, A)",,,,,,,,,,,,,,,,,"Islamic Studies (CS-21, B) ",,,,,,,,,,,,,,,,,"OOP (MS-DEF, H)",,,,,,,,,,,,,,,,,,,"OOP (MS DEF, H)",,,,,,,,,,,,,,,
,,C-302,,,,,,,,,,,,,,,,,,,"PF (CS-21, B)",,,,,,,,,,,,,,,,,,"AP (CS-21, B) ",,,,,,,,,,,,,,,,,,"Cal (CS-21, B)",,,,,,,,,,,,,,,,,,"Psychology (CS-20, D)",,,,,,,,,,,,,,,,,"Psychology (CS-20, D)",,,,,,,,,,,,,,,,,"Adv SE (MS-SE, seniors)",,,,,,,,,,,,,,,,,,,"Adv SE (MS-SE, seniors)",,,,,,,,,,,,,,,
,,C-303,"Islamic Studies (CS-21, C)",,,,,,,,,,,,,,,,,,"AP (CS-21, C)",,,,,,,,,,,,,,,,,,"PF (CS-21, C)",,,,,,,,,,,,,,,,,,Algo (A) ,,,,,,,,,,,,,,,,,,"Cal (CS-21, C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OS (BS/ MS-DEF, B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-304,"Cal (CS-21, D)",,,,,,,,,,,,,,,,,,"Islamic Studies (CS-21, D)",,,,,,,,,,,,,,,,,,"AP (CS-21, D)",,,,,,,,,,,,,,,,,,Data Mining,,,,,,,,,,,,,,,,,,"PF (CS-21, D)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethical Hacking (MS-Elec),,,,,,,,,,,,,,,,,,,Ethical Hacking (MS-Elec),,,,,,,,,,,,,,,
,,C-305,"Islamic Studies (CS-21, E)",,,,,,,,,,,,,,,,,,"PF (CS-21, E)",,,,,,,,,,,,,,,,,,"AP (CS-21, E) ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cal (CS-21, E) - 01:45 - 03:05",,,,,,,,,,,,,,,,,,"Cal (CS-21, F) - 03:15 - 04:35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
